"id","code_prefix_start","parent_id/id","name","chart_template_id/id"
"hr_group_0","0",,"POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_00","00","hr_group_0","POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_000","000","hr_group_00","Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_001","001","hr_group_00","Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala (razrada po emisijama dionica)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_002","002","hr_group_00","Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_003","003","hr_group_00","Potraživanja za temeljni ulog komanditora","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_004","004","hr_group_00","Potraživanje za ostale uloge u kapital","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_01","01","hr_group_0","NEMATERIJALNA IMOVINA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_010","010","hr_group_01","Izdatci za razvoj","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_011","011","hr_group_01","Koncesije, patenti, licencije, robne i uslužne marke","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_012","012","hr_group_01","Softver i ostala prava","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_013","013","hr_group_01","Goodwill","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_014","014","hr_group_01","Ostala nematerijalna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_015","015","hr_group_01","Predujmovi za nabavu nematerijalne imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_016","016","hr_group_01","Kriptovalute","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_017","017","hr_group_01","Nematerijalna imovina u pripremi (analitika prema vrsti računa skupine 01)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_018","018","hr_group_01","Vrijednosno usklađenje nematerijalne imovine (analitika prema vrsti računa skupine 01)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_019","019","hr_group_01","Akumulirana amortizacija nematerijalne imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_02","02","hr_group_0","MATERIJALNA IMOVINA - NEKRETNINE","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_020","020","hr_group_02","Zemljišta","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_021","021","hr_group_02","Zemljišna prava (višegodišnja)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_023","023","hr_group_02","Građevinski objekti (za vlastite potrebe)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_024","024","hr_group_02","Stanovi za vlastite zaposlenike","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_026","026","hr_group_02","Predujmovi za nabavu nekretnina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_027","027","hr_group_02","Nekretnine u pripremi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_028","028","hr_group_02","Vrijednosno usklađenje nekretnina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_029","029","hr_group_02","Akumulirana amortizacija građevina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_03","03","hr_group_0","POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_030","030","hr_group_03","Postrojenja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_031","031","hr_group_03","Oprema","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_032","032","hr_group_03","Alati, pogonski inventar i transportna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_033","033","hr_group_03","Pretporez koji se ne može odbiti (kao dio vrijednosti osobnih automobila za nabave od 1.1. 2018.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_034","034","hr_group_03","Poljoprivredna oprema i mehanizacija","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_035","035","hr_group_03","Ostala materijalna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
