"code","id","account_type","reconcile","name","chart_template_id/id"
"010000","hr_010000","asset_non_current",0,"Izdatci za razvoj","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"011000","hr_011000","asset_non_current",0,"Koncesije, patenti, licencije, robne i uslužne marke","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"012000","hr_012000","asset_non_current",,"Ulaganje u računalni softver","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"012010","hr_012010","asset_non_current",,"Ulaganje u internetske stranice","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"012100","hr_012100","asset_non_current",,"Ulaganje u autorska i dr. prava korištenja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"012110","hr_012110","asset_non_current",,"Ulaganje u znanje (know-how), dizajn","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"012140","hr_012140","asset_non_current",,"Ulaganje u dugogodišnje pravo uporabe (prema ugovoru) - npr. višegod. plaćeni zakup","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"012150","hr_012150","asset_non_current",,"Ulaganje u pravo suvlasništva opreme","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"012220","hr_012220","asset_non_current",,"Ostala dugogodišnja prava","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"014000","hr_014000","asset_non_current",0,"Ostala nematerijalna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"015000","hr_015000","asset_non_current",0,"Predujmovi za nabavu nematerijalne imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"016000","hr_016000","asset_non_current",0,"Kriptovalute","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"017000","hr_017000","asset_non_current",0,"Nematerijalna imovina u pripremi (analitika prema vrsti računa skupine 01)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"019000","hr_019000","asset_non_current",0,"Akumulirana amortizacija nematerijalne imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"020000","hr_020000","asset_fixed",0,"Zemljišta","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"021000","hr_021000","asset_fixed",0,"Zemljišna prava (višegodišnja)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"023000","hr_023000","asset_fixed",0,"Građevinski objekti (za vlastite potrebe)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"024000","hr_024000","asset_fixed",0,"Stanovi za vlastite zaposlenike","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"026000","hr_026000","asset_fixed",0,"Predujmovi za nabavu nekretnina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"027000","hr_027000","asset_fixed",0,"Nekretnine u pripremi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"028000","hr_028000","asset_fixed",0,"Vrijednosno usklađenje nekretnina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"029000","hr_029000","asset_fixed",0,"Akumulirana amortizacija građevina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"030000","hr_030000","asset_fixed",0,"Postrojenja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031000","hr_031000","asset_fixed",0,"Uredska oprema (fotokopirni aparati, telefaksi, blagajne, alarmi, klimatizacijski uređaji, hladnjaci, televizori, i dr.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031100","hr_031100","asset_fixed",0,"Računalna oprema","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031200","hr_031200","asset_fixed",0,"Telekomunikacijska oprema (mobiteli, tel. centrale, antene i sl.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031300","hr_031300","asset_fixed",0,"Oprema trgovine (blagajne, hladnjaci, i dr.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031400","hr_031400","asset_fixed",0,"Oprema ugostiteljstva, hotela i sl. (aparati, štednjaci, hladnjaci, pokućstvo i sl.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031500","hr_031500","asset_fixed",0,"Oprema servisa (dizalice, ispitni uređaji, aparati i dr.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031600","hr_031600","asset_fixed",0,"Oprema za graditeljstvo i montažu (kranovi, bageri, skele, oplate, miješalice, dizalice, valjci i sl.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031700","hr_031700","asset_fixed",0,"Oprema (aparati) grijanja/hlađenja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031800","hr_031800","asset_fixed",0,"Oprema zaštite na radu i protupožarne zaštite","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"031900","hr_031900","asset_fixed",0,"Ostala oprema i oprema izvan uporabe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"032000","hr_032000","asset_fixed",0,"Alati, pogonski inventar i transportna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"032000","hr_032000","asset_fixed",0,"Putnička vozila (osobna i putnički kombi) i motor kotači","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"033000","hr_033000","asset_fixed",0,"50% pretporeza od osobnih automobila","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"033100","hr_033100","asset_fixed",0,"50% i 100% pretporeza od osobnih automobila (n. v. veće od 400.000,00 kn koji su nabavljeni do 31.12.2018.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"033200","hr_033200","asset_fixed",0,"50% pretporeza od brodova, jahti i dr.","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"033300","hr_033300","asset_fixed",0,"50% i 100% pretporeza od brodova, jahti i dr. (n.v. veće od 400.000,00 kn koji su nabavljeni do 31.12.2018.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"034000","hr_034000","asset_fixed",0,"Poljoprivredna oprema i mehanizacija","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"035000","hr_035000","asset_fixed",0,"Ostala materijalna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"036000","hr_036000","asset_fixed",0,"Predujmovi za materijalnu imovinu","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"037000","hr_037000","asset_fixed",0,"Materijalna imovina u pripremi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"038000","hr_038000","asset_fixed",0,"Vrijednosno usklađenje postrojenja i opreme","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"039000","hr_039000","asset_fixed",0,"Akumulirana amortizacija postrojenja i opreme","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"039100","hr_039100","asset_non_current",0,"Akumulirana amortiz. opreme","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"039200","hr_039200","asset_non_current",0,"Akumulirana amortiz. alata, pogonskog inventara i transportnih sredstava","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"039300","hr_039300","asset_non_current",0,"Akumulirana amortiz. osobnih automobila, plovila i zrakoplova (nabavna vrijednost bez PDV-a)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"039500","hr_039500","asset_non_current",0,"Akumulirana amortiz. 50% pretporeza od osob. automobila","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"039600","hr_039600","asset_non_current",0,"Akumulirana amortiz. 50% i 100% pretporeza od osob. automobila (n. v. veće od 400.000,00 kn koji su nabavljeni do 31. 12. 2018.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"039700","hr_039700","asset_non_current",0,"Akumulirana amortiz. 50% od pretporeza od brodova, jahti i dr. sred. za osobni prijevoz","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"039800","hr_039800","asset_non_current",0,"Akumulirana amortiz. 50% i 100% pretporeza od brodova, jahti i dr. sred. za osobni prijevoz (n. v. veće od 400.000,00 kn koji su nabavljeni do 31. 12. 2018.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"039900","hr_039900","asset_non_current",0,"Ostala akumulirana amortizacija za opremu","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"040000","hr_040000","asset_non_current",0,"Biološka imovina - bilje - višegodišnji nasadi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"041000","hr_041000","asset_current",0,"Biološka imovina - životinje - osnovno stado","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"046000","hr_046000","asset_non_current",0,"Predujmovi za biološku imovinu","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"047000","hr_047000","asset_non_current",0,"Biološka imovina u pripremi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"048000","hr_048000","asset_non_current",0,"Vrijednosno usklađenje biološke imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"049000","hr_049000","asset_non_current",0,"Akumulirana amortizacija biološke imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"050000","hr_050000","asset_non_current",0,"Ulaganja u nekretnine - zemljišta","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"051000","hr_051000","asset_non_current",0,"Ulaganja u nekretnine - građevine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"056000","hr_056000","asset_non_current",0,"Predujmovi za ulaganja u nekretnine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"057000","hr_057000","asset_non_current",0,"Ulaganja u nekretnine u pripremi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"058000","hr_058000","asset_non_current",0,"Vrijednosno usklađenje ulaganja u nekretnine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"059000","hr_059000","asset_non_current",0,"Akumulirana amortizacija ulaganja u građevine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"060000","hr_060000","asset_non_current",0,"Ulaganja u udjele (dionice) i ostale vrijednosne papire poduzetnika unutar grupe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"060100","hr_060100","asset_non_current",0,"Ulaganja u ostale vrijednosne papire poduzetnika unutar grupe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"062000","hr_062000","asset_non_current",0,"Ulaganja u udjele (dionice) i ostale vrijednosne papire društava povezanih sudjelujućim interesom","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"063000","hr_063000","asset_non_current",0,"Dani zajmovi, depoziti i slično društvima povezanim sudjelujućim interesom","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"064000","hr_064000","asset_non_current",0,"Ulaganja u vrijednosne papire (dugotrajne)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"065000","hr_065000","asset_non_current",0,"Dani zajmovi, depoziti i sl.","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"066000","hr_066000","asset_non_current",0,"Ulaganja koja se obračunavaju metodom udjela","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
